,career_bat_avg
RG Sharma,4.976608187
Q de Kock,7.593567251
SA Yadav,7.50877193
SS Tiwary,1.50877193
HH Pandya,4.429824561
KA Pollard,4.719298246
KH Pandya,1.692982456
JL Pattinson,0.210526316
RD Chahar,0.035087719
TA Boult,0
JJ Bumrah,0.087719298
Ishan Kishan,8.084795322
NM Coulter-Nile,0.438596491
DS Kulkarni,0.052631579
,career_bat_avg
M Vijay,0.536363636
SR Watson,4.954545455
F du Plessis,7.018181818
AT Rayudu,5.527272727
RA Jadeja,3.736363636
SM Curran,2.927272727
MS Dhoni,3.036363636
RD Gaikwad,3.636363636
KM Jadhav,1.109090909
N Jagadeesan,0.590909091
DL Chahar,0.127272727
SN Thakur,0.181818182
Imran Tahir,0.236363636
DJ Bravo,0.090909091
,career_bat_avg
PP Shaw,3.074858757
S Dhawan,9.217514124
SO Hetmyer,2.788135593
SS Iyer,7.56779661
RR Pant,4.93220339
AR Patel,1.525423729
MP Stoinis,4.881355932
R Ashwin,0.593220339
A Nortje,0.110169492
AM Rahane,1.706214689
K Rabada,0.898305085
TU Deshpande,0.347457627
HV Patel,0.254237288
AT Carey,0.525423729
P Dubey,0.118644068
DR Sams,0
,career_bat_avg
KL Rahul,10.98181818
MA Agarwal,7.051515152
KK Nair,0.290909091
N Pooran,5.990909091
GJ Maxwell,1.615151515
SN Khan,0.581818182
K Gowtham,0.763636364
CJ Jordan,0.454545455
Mandeep Singh,2.024242424
CH Gayle,4.854545455
DJ Hooda,1.854545455
M Ashwin,0.054545455
JDS Neesham,0.336363636
Ravi Bishnoi,0.127272727
Mohammed Shami,0.036363636
P Simran Singh,0.209090909
Mujeeb Ur Rahman,0.018181818
SS Cottrell,0
Arshdeep Singh,0
,career_bat_avg
Shubman Gill,7.248484848
RA Tripathi,3.393939394
N Rana,5.318181818
T Banton,0.181818182
KD Karthik,2.548484848
EJG Morgan,6.921212121
PJ Cummins,2.509090909
Kuldeep Yadav,0.236363636
LH Ferguson,0.781818182
SP Narine,1.818181818
AD Russell,1.63030303
KL Nagarkoti,0.372727273
Shivam Mavi,0.154545455
CV Varun,0.163636364
NS Naik,0.018181818
M Prasidh Krishna,0.036363636
RK Singh,0.154545455
,career_bat_avg
D Padikkal,7.980392157
AJ Finch,4.545751634
Gurkeerat Singh,1.392156863
V Kohli,8.37254902
JR Philippe,1.460784314
AB de Villiers,7.964052288
S Dube,2.238562092
CH Morris,0.607843137
Washington Sundar,1.895424837
I Udana,0.245098039
Mohammed Siraj,0.284313725
Shahbaz Ahmed,0.019607843
UT Yadav,0
NA Saini,0.490196078
DW Steyn,0.019607843
YS Chahal,0.009803922
MM Ali,0.196078431
,career_bat_avg
DA Warner,8.051724138
WP Saha,3.543103448
JM Bairstow,5.086206897
MK Pandey,6.833333333
Abdul Samad,1.525862069
V Shankar,1.543103448
JO Holder,1.077586207
PK Garg,2.005747126
Rashid Khan,0.560344828
Sandeep Sharma,0.155172414
KK Ahmed,0
KS Williamson,4.905172414
Abhishek Sharma,1.094827586
S Nadeem,0.120689655
T Natarajan,0.051724138
B Kumar,0
MR Marsh,0
Mohammad Nabi,0.189655172
SP Goswami,0
,career_bat_avg
YBK Jaiswal,0.66
SPD Smith,5.46
SV Samson,6.8
RV Uthappa,3.326666667
R Tewatia,4.763333333
R Parag,1.63
TK Curran,1.58
JC Archer,2.026666667
JC Buttler,6.13
MK Lomror,1
AJ Tye,0.12
S Gopal,0.53
Kartik Tyagi,0.07
VR Aaron,0.01
JD Unadkat,0.14
AS Rajpoot,0.18
BA Stokes,5.2
